minutes,mean_intensity
-1,13.84
-0.5,13.9
0,2.81
0.5,2.87
1,3.03
1.5,3.3
2,3.36
2.5,3.52
3,3.72
3.5,3.53
4,3.26
4.5,3.75
5,3.79
5.5,4.52
6,5.45
6.5,4.9
7,3.95
7.5,5.08
8,4.21
8.5,3.38
9,4.12
9.5,4.58
10,3.37
10.5,3.69
11,3.62
11.5,3.93
12,3.5
12.5,3.91
13,4.18
13.5,4.29
14,3.95
14.5,4.32
15,4.09
15.5,4.5
16,4.53
16.5,4.87
17,5.39
17.5,5.35
18,5.27
18.5,4.99
19,5.28
19.5,5.13
20,5.22
20.5,5.37
21,4.81
21.5,5.4
22,4.62
22.5,6.03
23,5.51
23.5,4.98
24,6.1
24.5,5.65
25,6.58
25.5,5.39
26,5.42
26.5,4.94
27,4.67
27.5,4.97
28,4.88
28.5,5.33
29,6.09
