minutes,mean_intensity
-1,13.4
-0.5,12.76
0,4.02
0.5,4.69
1,4.59
1.5,4.99
2,4.91
2.5,5.66
3,4.21
3.5,4.29
4,5.04
4.5,5.22
5,4.79
5.5,5.29
6,5.01
6.5,4.62
7,4.3
7.5,5.68
8,5.26
8.5,6.55
9,6.32
9.5,7.5
10,5.77
10.5,6.5
11,5.9
11.5,5.75
12,6.41
12.5,5.53
13,4.79
13.5,4.75
14,5.58
14.5,6.41
15,6.37
15.5,7.49
16,6.83
16.5,6.62
17,7.01
17.5,7.31
18,8.36
18.5,7.35
19,6.91
19.5,6.82
20,3.83
20.5,4.55
21,4.59
21.5,4.22
22,5.54
22.5,5.49
23,6.29
23.5,5.95
24,6.15
24.5,7.16
25,7.71
25.5,7.39
26,10.34
26.5,8.36
27,8.37
27.5,6.95
28,5.91
28.5,6.23
29,5.99
