minutes,mean_intensity
-1,9.06
-0.5,8.83
0,3.14
0.5,2.51
1,2.85
1.5,2.87
2,4.25
2.5,4.6
3,4.49
3.5,4.87
4,4.69
4.5,4.57
5,4.61
5.5,4.41
6,4.76
6.5,4.76
7,5
7.5,4.37
8,4
8.5,4.7
9,4.11
9.5,5.08
10,4.57
10.5,3.69
11,4.47
11.5,4.2
12,3.78
12.5,3.83
13,4.5
13.5,4.24
14,4.02
14.5,4.26
15,5.24
15.5,5.97
16,4.69
16.5,5.57
17,5.65
17.5,6.54
18,6.15
18.5,6.67
19,5.32
19.5,6.05
20,5.24
20.5,5.38
21,3.89
21.5,4.85
22,5.48
22.5,5.38
23,5.46
23.5,6.77
24,6.41
24.5,6.7
25,7.81
25.5,7.24
26,7.25
26.5,8.11
27,8.77
27.5,8.47
28,7.44
28.5,7.43
29,8.33
