minutes,mean_intensity
-1,6.917
-0.5,6.871
0,5.604
0.5,5.088
1,6.788
1.5,6.498
2,7.051
2.5,7.521
3,8.982
3.5,8.802
4,8.267
4.5,5.535
5,5.484
5.5,5.041
6,5.401
6.5,4.604
7,5.507
7.5,4.544
8,5.074
8.5,4.599
9,5.364
9.5,5.876
10,5.442
10.5,5.76
11,5.553
11.5,6.198
12,4.475
12.5,4.276
13,5.419
13.5,4.668
14,4.313
14.5,5.488
15,4.788
15.5,4.991
16,4.834
16.5,4.041
17,4.982
17.5,4.696
18,4.673
18.5,3.811
19,5.074
19.5,3.788
20,4.853
20.5,5.092
21,4.982
21.5,5.014
22,6.018
22.5,5.728
23,5.161
23.5,5.728
24,5.949
24.5,4.926
25,5.664
25.5,5.226
26,6.143
26.5,6.046
27,4.65
27.5,5.696
28,4.207
28.5,3.309
29,4.346
