minutes,mean_intensity
-1,6.647
-0.5,6.468
0,4.914
0.5,5.983
1,5.775
1.5,5.933
2,5.576
2.5,5.715
3,5.971
3.5,5.6
4,5.674
4.5,5.811
5,5.909
5.5,4.962
6,5.091
6.5,4.942
7,5.573
7.5,6.034
8,5.631
8.5,3.983
9,4.249
9.5,3.621
10,4.719
10.5,4.707
11,5.06
11.5,5.376
12,4.89
12.5,5.225
13,5.254
13.5,5.353
14,5.983
14.5,5.415
15,6.659
15.5,6.324
16,6.436
16.5,8.125
17,5.345
17.5,7.427
18,7.592
18.5,7.847
19,7.084
19.5,6.983
20,7.782
20.5,6.616
21,7.99
21.5,6.305
22,6.676
22.5,6.324
23,6.722
23.5,7.746
24,6.4
24.5,7.48
25,7.034
25.5,6.998
26,7.086
26.5,7.127
27,4.981
27.5,6.779
28,8.201
28.5,5.108
29,5.201
