minutes,mean_intensity
-1,9.73
-0.5,8.92
0,3.22
0.5,2.77
1,4.27
1.5,4.46
2,3.52
2.5,4.39
3,3.45
3.5,6.91
4,6.94
4.5,7.01
5,7.6
5.5,7.83
6,7.51
6.5,7.77
7,6.96
7.5,6.68
8,6.17
8.5,6.33
9,5.77
9.5,6.74
10,6.02
10.5,7.5
11,4.52
11.5,5.12
12,8.05
12.5,8.87
13,8.79
13.5,8.85
14,10.43
14.5,7.98
15,7.52
15.5,9.51
16,7.8
16.5,7.71
17,7.24
17.5,6.75
18,6.75
18.5,5.87
19,5.45
19.5,5.27
20,5.29
20.5,6.21
21,6.3
21.5,6.48
22,5.99
22.5,6.33
23,6.64
23.5,8.98
24,6.42
24.5,6.4
25,6.16
25.5,6.16
26,6.04
26.5,4.04
27,4.51
27.5,5.25
28,5.52
28.5,6.02
29,5.92
