minutes,mean_intensity
-1,9.21
-0.5,9.11
0,2.95
0.5,3.92
1,3.83
1.5,3.19
2,3.62
2.5,4.89
3,4.79
3.5,5.35
4,5.6
4.5,5.94
5,6.05
5.5,5.53
6,5.99
6.5,6.04
7,5.75
7.5,6.31
8,5.7
8.5,6.3
9,6.99
9.5,7.21
10,6.9
10.5,6.56
11,6.44
11.5,6
12,5.67
12.5,5.07
13,4.69
13.5,4.77
14,3.85
14.5,4.99
15,4.75
15.5,4.74
16,4.71
16.5,4.19
17,4.31
17.5,4.86
18,3.84
18.5,3.62
19,3.88
19.5,3.55
20,3.25
20.5,3.21
21,3.27
21.5,3.06
22,3.69
22.5,3.47
23,3.24
23.5,3.42
24,2.89
24.5,3.27
25,3.37
25.5,3.14
26,3.59
26.5,3.64
27,3.74
27.5,3.34
28,3.51
28.5,4.77
29,4.06
