minutes,mean_intensity
-1,9.198
-0.5,9.615
0,2.417
0.5,2.567
1,2.278
1.5,2.396
2,2.086
2.5,3.032
3,2.332
3.5,3.497
4,3.545
4.5,4.267
5,4.561
5.5,5.556
6,5.791
6.5,6.31
7,6.909
7.5,6.775
8,6.257
8.5,6.23
9,6.465
9.5,6.299
10,6.321
10.5,4.856
11,5.973
11.5,6.583
12,5.84
12.5,6.08
13,6.118
13.5,5.679
14,5.61
14.5,5.406
15,5.722
15.5,4.936
16,4.856
16.5,5.048
17,4.005
17.5,4.508
18,3.914
18.5,3.273
19,3.166
19.5,2.888
20,2.77
20.5,2.791
21,3.251
21.5,3.465
22,2.77
22.5,2.824
23,2.642
23.5,2.647
24,2.904
24.5,2.92
25,2.706
25.5,2.299
26,2.203
26.5,1.872
27,2.31
27.5,1.968
28,2.572
28.5,2.358
29,3.171
