minutes,mean_intensity
-1,6.832
-0.5,7.579
0,8.461
0.5,8.479
1,6.807
1.5,6.932
2,8.761
2.5,7.461
3,7.436
3.5,7.261
4,7.464
4.5,8.675
5,7.946
5.5,7.132
6,7.604
6.5,7.2
7,6
7.5,6.029
8,6.739
8.5,6.807
9,7.196
9.5,5.864
10,6.579
10.5,6.643
11,6.314
11.5,5.036
12,5.136
12.5,4.689
13,4.868
13.5,4.993
14,4.564
14.5,4.339
15,4.539
15.5,4.379
16,3.932
16.5,4.089
17,4.146
17.5,4.279
18,3.3
18.5,2.979
19,3.889
19.5,3.607
20,3.471
20.5,3.289
21,4.707
21.5,4.404
22,4.557
22.5,4.832
23,4.875
23.5,4.336
24,4.832
24.5,5.146
25,4.557
25.5,3.811
26,4.004
26.5,4.104
27,3.725
27.5,4.361
28,4.043
28.5,4.936
29,5.071
