minutes,mean_intensity
-1,11.08
-0.5,11.832
0,9.904
0.5,9.407
1,9.301
1.5,9.725
2,10.002
2.5,9.696
3,7.373
3.5,7.56
4,8.023
4.5,8.761
5,7.796
5.5,9.644
6,8.583
6.5,8.465
7,9.011
7.5,8.514
8,7.847
8.5,7.39
9,7.781
9.5,7.35
10,7.051
10.5,7.193
11,7.011
11.5,7.573
12,7.87
12.5,7.806
13,7.994
13.5,8.1
14,7.162
14.5,7.904
15,7.673
15.5,7.455
16,7.427
16.5,7.202
17,6.946
17.5,7.34
18,7.085
18.5,7.915
19,8.264
19.5,7.718
20,6.948
20.5,6.594
21,6.645
21.5,5.813
22,6.523
22.5,6.227
23,5.758
23.5,5.619
24,5.758
24.5,5.807
25,6.736
25.5,6.211
26,5.181
26.5,5.438
27,5.384
27.5,5.506
28,5.687
28.5,5.562
29,5.529
