minutes,mean_intensity
-1,13.88
-0.5,14.06
0,14.21
0.5,12.68
1,13.86
1.5,12.71
2,10.94
2.5,10.7
3,10.21
3.5,10.63
4,10.86
4.5,11.03
5,11.86
5.5,12.07
6,10.51
6.5,10.05
7,10.56
7.5,8.89
8,9.13
8.5,9.39
9,8.84
9.5,7.07
10,7.35
10.5,7.38
11,7.09
11.5,6.45
12,6.74
12.5,7.15
13,7.14
13.5,7.14
14,6.97
14.5,7.35
15,7.36
15.5,6.8
16,7.54
16.5,7.95
17,8.01
17.5,8.91
18,9.56
18.5,8.39
19,9.33
19.5,8.5
20,8.66
20.5,8.33
21,8.33
21.5,7.74
22,8.17
22.5,7.17
23,8.51
23.5,7.76
24,6.57
24.5,6.94
25,6.15
25.5,6.02
26,5.54
26.5,5.64
27,7.52
27.5,7.51
28,8.16
28.5,8.95
29,8.83
