minutes,mean_intensity
-1,16.244
-0.5,14.29
0,10.341
0.5,9.315
1,10.082
1.5,9.377
2,9.695
2.5,9.692
3,13.169
3.5,12.615
4,12.374
4.5,11.064
5,12.141
5.5,11.249
6,10.649
6.5,10.644
7,11.026
7.5,9.738
8,9.779
8.5,8.444
9,9.687
9.5,7.054
10,7.938
10.5,6.167
11,7.146
11.5,7.4
12,8.469
12.5,7.713
13,7.228
13.5,10.195
14,7.326
14.5,7.018
15,7.19
15.5,7.356
16,7.362
16.5,6.146
17,5.582
17.5,5.549
18,6.828
18.5,7.362
19,7.121
19.5,7.187
20,8.1
20.5,6.346
21,6.403
21.5,6.915
22,7.569
22.5,6.741
23,6.592
23.5,6.067
24,5.872
24.5,5.192
25,5.192
25.5,5.892
26,5.731
26.5,5.918
27,6.131
27.5,6.028
28,6.497
28.5,6.349
29,5.297
