minutes,mean_intensity
-1,9.65
-0.5,9.65
0,4.57
0.5,4.88
1,4.55
1.5,5.97
2,6.03
2.5,6.14
3,6.61
3.5,6.55
4,7.47
4.5,8.24
5,8.05
5.5,7.75
6,6.1
6.5,6.23
7,6.16
7.5,6.93
8,6.28
8.5,6.18
9,6.07
9.5,6.19
10,6.38
10.5,5.82
11,6.29
11.5,6.37
12,7.34
12.5,6.03
13,6.35
13.5,7.49
14,7.48
14.5,7.51
15,7.04
15.5,7.03
16,8.52
16.5,8.35
17,8.36
17.5,8.05
18,8.21
18.5,7.24
19,7.98
19.5,7.43
20,6.63
20.5,5.98
21,6.09
21.5,5.81
22,5.86
22.5,5.09
23,5.13
23.5,5.48
24,4.85
24.5,5.36
25,4.82
25.5,4.9
26,5.54
26.5,5.04
27,5.08
27.5,5.91
28,5.57
28.5,5.73
29,5.5
