minutes,mean_intensity
-1,8.84
-0.5,8.13
0,2.56
0.5,2.62
1,2.69
1.5,3.23
2,3.13
2.5,3.86
3,2.61
3.5,2.99
4,2.79
4.5,2.48
5,2.26
5.5,2.78
6,3.45
6.5,3.67
7,4.2
7.5,4.26
8,4.24
8.5,4.23
9,3.96
9.5,3.71
10,4.91
10.5,4.45
11,4.54
11.5,4.75
12,4.89
12.5,5
13,4.44
13.5,3.99
14,4.35
14.5,4.56
15,4.07
15.5,3.4
16,3.43
16.5,3.91
17,3.82
17.5,3.48
18,3.68
18.5,3.4
19,3.36
19.5,3.84
20,3.66
20.5,3.58
21,3.32
21.5,3.82
22,4.12
22.5,3.87
23,3.8
23.5,3.02
24,4.32
24.5,3.29
25,3.68
25.5,4.2
26,4.46
26.5,5.29
27,4.97
27.5,5.41
28,5.04
28.5,4.99
29,5.17
