seconds,mean_intensity
-20,3.858
-10,3.930
0,3.677
10,3.910
20,4.132
30,3.495
40,3.656
50,3.448
60,3.127
70,3.140
80,3.266
90,3.652
100,3.110
110,2.923
120,3.095
130,2.881
140,2.435
150,2.823
160,3.268
170,2.878
180,2.948
190,3.048
200,2.888
210,2.816
220,2.741
230,3.222
240,2.699
250,3.318
260,3.458
270,3.172
280,2.686
290,2.522
300,2.809
310,2.928
320,2.425
330,2.923
340,2.706
350,2.848
360,2.905
370,2.789
380,3.293
390,2.878
400,2.721
410,2.697
420,2.926
430,2.814
440,2.676
450,2.716
460,2.532
470,2.405
