seconds,mean_intensity
-20,2.104
-10,2.038
0,2.169
10,2.131
20,2.484
30,2.132
40,2.038
50,1.93
60,1.792
70,1.906
80,2.259
90,2.2
100,2.123
110,2.046
120,2.194
130,2.479
140,2.3
150,2.386
160,2.322
170,2.227
180,2.017
190,2.138
200,2.346
210,1.87
220,1.905
230,1.692
240,1.745
250,1.724
260,2.09
270,1.757
280,1.679
290,1.493
300,1.767
310,1.799
320,1.816
330,1.962
340,1.795
350,1.9
360,1.797
370,1.691
380,2.118
390,1.896
400,1.916
410,2.047
420,1.845
430,1.929
440,1.964
450,1.762
460,1.667
470,1.662
