seconds,mean_intensity
-20,3.53
-10,3.587
0,1.594
10,1.826
20,2.312
30,2.93
40,2.953
50,2.815
60,2.658
70,3.473
80,3.695
90,3.134
100,2.701
110,3.107
120,3.007
130,2.862
140,3.446
150,3.013
160,3.117
170,3.185
180,3.503
190,2.973
200,3.03
210,3.641
220,3.93
230,3.326
240,3.319
250,4.067
260,4.154
270,3.933
280,4.225
290,4.332
300,4.715
310,3.403
320,4.023
330,3.617
340,3.916
350,4.866
360,5.262
370,4.221
380,4.977
390,4.463
400,5.262
410,4.161
420,5.466
430,5.178
440,5.101
450,4.289
460,4.215
470,3.507
