seconds,mean_intensity
-20,5.216
-10,5.054
0,6.005
10,5.707
20,5.968
30,5.739
40,4.964
50,4.356
60,4.923
70,4.995
80,4.545
90,4.459
100,3.414
110,4.374
120,4.856
130,4.329
140,5.644
150,4.523
160,4.577
170,4.423
180,4.374
190,4.644
200,4.108
210,4.207
220,5.248
230,4.667
240,4.721
250,4.788
260,4.216
270,3.784
280,4.225
290,3.599
300,4.027
310,3.613
320,4.509
330,4.802
340,5.036
350,4.653
360,4.306
370,4.401
380,5.068
390,5.761
400,4.568
410,4.995
420,4.194
430,4.671
440,3.838
450,4.721
460,4.221
470,4.207
