seconds,mean_intensity
-20,7.851
-10,8.077
0,8.125
10,8.149
20,6.81
30,8.476
40,8.304
50,8.476
60,7.845
70,7.649
80,7.119
90,7.482
100,6.905
110,6.952
120,7.72
130,7.482
140,7.292
150,6.845
160,5.911
170,6.149
180,6.869
190,6.792
200,6.137
210,6.458
220,6.548
230,6.238
240,6.274
250,6.357
260,6.024
270,6.446
280,6
290,5.542
300,4.994
310,6.214
320,7.31
330,5.762
340,4.893
350,5.625
360,5.5
370,6.238
380,5.226
390,5.315
400,4.643
410,4.393
420,5.625
430,5.476
440,5.863
450,5.982
460,4.536
470,4.583
