seconds,mean_intensity
-20,6.193
-10,6.275
0,1.991
10,2.874
20,3.398
30,3.579
40,3.757
50,3.781
60,3.55
70,5.073
80,4.667
90,4.749
100,3.95
110,4.269
120,4.991
130,4.76
140,5.427
150,4.845
160,4.731
170,4.491
180,4.219
190,4.36
200,4.342
210,4.155
220,4.512
230,4.599
240,4.953
250,4.959
260,4.626
270,4.936
280,4.427
290,4.272
300,4.24
310,4.737
320,5.094
330,5.474
340,5.219
350,5.26
360,4.711
370,4.655
380,4.754
390,4.52
400,4.173
410,4.079
420,3.971
430,4.026
440,4.664
450,5.07
460,4.07
470,4.743
