seconds,mean_intensity
-20,5.147
-10,5.835
0,2.385
10,3.33
20,4.165
30,4.744
40,3.634
50,3.271
60,3.747
70,4.176
80,4.029
90,3.861
100,3.484
110,4.194
120,4.491
130,4.081
140,3.711
150,4.304
160,5.11
170,4.458
180,5.418
190,4.051
200,4.634
210,3.861
220,3.938
230,4.143
240,4.546
250,4.52
260,3.711
270,4.531
280,4.593
290,4.187
300,4.011
310,4.557
320,4.619
330,4.282
340,4.853
350,5.183
360,4.165
370,4.429
380,4.634
390,3.996
400,4.604
410,4.733
420,4.667
430,4.696
440,4.689
450,4.19
460,4.33
470,4.33
