seconds,mean_intensity
-20,9.368
-10,8.346
0,9.297
10,7.714
20,7.269
30,6.648
40,7.324
50,6.225
60,6.082
70,5.863
80,7.154
90,6.813
100,6.736
110,5.374
120,5.874
130,6.885
140,6.643
150,6.769
160,6.753
170,6.093
180,6.841
190,7.39
200,6.56
210,6.797
220,7.78
230,8.516
240,6.934
250,6.258
260,5.962
270,6.044
280,6.341
290,5.538
300,5.995
310,6.401
320,6.907
330,5.89
340,5.813
350,4.819
360,7.203
370,7.115
380,6.176
390,6.11
400,5.978
410,6.027
420,6.225
430,7.33
440,6.505
450,6.989
460,6.874
470,6.5
