seconds,mean_intensity
-20,7.598
-10,6.644
0,6.494
10,6.448
20,6.741
30,8.333
40,6.874
50,7.103
60,7.718
70,8.787
80,7.529
90,6.77
100,6.31
110,5.523
120,6.172
130,5.718
140,5.897
150,5.661
160,6.58
170,5.517
180,6.138
190,6.517
200,9.126
210,6.402
220,6.609
230,6.046
240,4.713
250,5.546
260,6.305
270,5.471
280,5.034
290,5.287
300,6.402
310,5.42
320,5.138
330,6.063
340,5.379
350,4.741
360,5.46
370,4.649
380,5.126
390,4.736
400,4.04
410,4.908
420,6.098
430,5.529
440,5.034
450,4.362
460,4.339
470,4.92
