seconds,mean_intensity
-20,7.149
-10,5.57
0,2.303
10,3.066
20,3.101
30,3.632
40,3.382
50,3.061
60,4.561
70,5.491
80,5.136
90,6.026
100,6.618
110,6.991
120,6.592
130,6.311
140,7.118
150,6.987
160,8.294
170,7.048
180,6.939
190,6.649
200,7.088
210,6.649
220,6.781
230,7.737
240,7.272
250,7.886
260,7.719
270,5.82
280,6.092
290,6.276
300,6.048
310,6.145
320,5.061
330,5.294
340,5.039
350,4.825
360,4.737
370,5.211
380,4.013
390,4.311
400,4.987
410,3.969
420,4.794
430,4.592
440,5.5
450,5.592
460,4.632
470,6.408
