seconds,mean_intensity
-20,5.88
-10,6.407
0,2.604
10,3.212
20,3.265
30,3.877
40,4.313
50,3.628
60,3.915
70,4.368
80,4.193
90,4.326
100,4.654
110,4.825
120,5.028
130,4.84
140,4.851
150,4.47
160,4.035
170,4.567
180,5.133
190,4.586
200,5.107
210,5.221
220,5.02
230,5.492
240,4.818
250,4.856
260,5.241
270,5.206
280,5.446
290,6.024
300,4.864
310,5.365
320,5.4
330,5.779
340,5.823
350,5.092
360,5.23
370,4.672
380,4.812
390,5.245
400,4.416
410,4.974
420,4.617
430,4.726
440,4.562
450,4.525
460,3.718
470,4.168
