seconds,mean_intensity
-20,5.138
-10,6.392
0,2.075
10,2.612
20,3.157
30,3.183
40,3.422
50,3.78
60,4.821
70,4.451
80,3.709
90,4.269
100,4.784
110,4.015
120,4.474
130,5.026
140,4.56
150,4.231
160,4.313
170,4.545
180,4.22
190,4.873
200,5.019
210,4.299
220,4.937
230,4.481
240,4.817
250,4.586
260,4.172
270,4.034
280,4.004
290,4.612
300,4.724
310,4.351
320,4.507
330,4.526
340,5.366
350,4.687
360,5.291
370,4.828
380,5.112
390,4.534
400,4.873
410,5.336
420,4.619
430,4.515
440,4.582
450,5.101
460,4.836
470,4.657
