seconds,mean_intensity
-20,5.172
-10,5.786
0,1.733
10,2.193
20,2.988
30,2.923
40,3.136
50,3.312
60,3.938
70,2.947
80,2.905
90,3.748
100,2.979
110,3.104
120,3.163
130,3.19
140,3.172
150,2.878
160,3.059
170,3.267
180,3.071
190,3.083
200,2.846
210,3.433
220,3.199
230,3.677
240,3.042
250,3.451
260,2.84
270,3.32
280,3.199
290,3.35
300,3.671
310,3.638
320,3.466
330,3.279
340,3.288
350,3.255
360,3.059
370,3.148
380,3.481
390,3.772
400,3.813
410,3.552
420,3.136
430,3.923
440,3.522
450,3.688
460,3.691
470,3.261
