seconds,mean_intensity
-20,5.905
-10,5.405
0,2.205
10,3.533
20,3.648
30,4.043
40,4.357
50,4.605
60,4.09
70,4.557
80,4.495
90,4.871
100,4.838
110,3.457
120,5.262
130,4.838
140,5
150,4.952
160,5.124
170,5.029
180,5.295
190,5.219
200,4.624
210,4.257
220,4.329
230,4.79
240,4.462
250,4.514
260,3.929
270,4.319
280,3.914
290,4.767
300,4.59
310,4.895
320,3.438
330,4.157
340,5.019
350,3.886
360,3.986
370,3.295
380,3.3
390,3.69
400,4.176
410,4.148
420,5.148
430,4.962
440,5.614
450,4.571
460,4.295
470,5.071
