seconds,mean_intensity
-20,8.066
-10,7.025
0,3.455
10,4.47
20,4.975
30,5.576
40,4.934
50,5.439
60,6.712
70,6.429
80,6.404
90,6.066
100,6.222
110,6.54
120,5.232
130,5.283
140,5.96
150,5.172
160,6.136
170,5.823
180,5.323
190,6.106
200,5.439
210,5.54
220,4.495
230,5.369
240,5.076
250,4.929
260,5.449
270,5.116
280,5.111
290,4.874
300,4.919
310,4.253
320,5.399
330,4.702
340,4.505
350,4.596
360,5.015
370,4.985
380,4.929
390,4.384
400,5.192
410,5.444
420,5.586
430,6.227
440,6.338
450,6.652
460,5.601
470,5.303
