seconds,mean_intensity
-20,8.835
-10,7.808
0,7.745
10,7.824
20,8.757
30,9.541
40,9.314
50,9.553
60,10.298
70,10.349
80,10.314
90,9.953
100,10.263
110,10.024
120,10.533
130,9.71
140,11.733
150,11.004
160,10.329
170,10.365
180,9.055
190,8.784
200,8.929
210,8.596
220,8.196
230,8.667
240,7.816
250,7.471
260,7.596
270,7.714
280,7.667
290,7.886
300,7.686
310,8.322
320,8.118
330,7.765
340,7.855
350,6.925
360,7.533
370,8.039
380,7.627
390,6.2
400,5.945
410,6.004
420,5.898
430,5.929
440,4.961
450,5.545
460,5.498
470,4.988
