seconds,mean_intensity
-20,5.515
-10,5.573
0,1.09
10,1.106
20,1.154
30,1.177
40,1.308
50,1.21
60,1.3
70,1.433
80,1.348
90,1.556
100,1.488
110,1.494
120,1.51
130,1.496
140,1.596
150,1.613
160,1.531
170,1.538
180,1.475
190,1.571
200,1.548
210,1.492
220,1.575
230,1.556
240,1.592
250,1.608
260,1.74
270,1.654
280,1.802
290,2.013
300,1.419
310,1.49
320,1.683
330,1.585
340,1.683
350,1.669
360,1.663
370,1.519
380,1.458
390,1.406
400,1.719
410,1.54
420,1.435
430,1.577
440,1.583
450,1.702
460,1.706
470,1.56
