seconds,mean_intensity
-20,5.549
-10,5.317
0,4.571
10,4.175
20,3.802
30,3.944
40,3.757
50,3.799
60,4.313
70,4.205
80,4.784
90,4.224
100,4.179
110,4.619
120,4.728
130,4.612
140,5.037
150,4.881
160,4.634
170,4.765
180,5.272
190,5.108
200,4.944
210,4.81
220,5.015
230,4.616
240,4.735
250,4.526
260,3.821
270,3.601
280,3.862
290,4.045
300,3.183
310,3.478
320,3.071
330,3.354
340,3.332
350,3.843
360,3.627
370,3.619
380,3.131
390,3.422
400,2.765
410,2.888
420,2.75
430,2.869
440,3.16
450,3.049
460,3.19
470,2.765
