seconds,mean_intensity
-20,6.508
-10,6.779
0,6.454
10,5.89
20,5.104
30,5.448
40,5.107
50,4.823
60,4.807
70,5.054
80,5.305
90,5.644
100,5.476
110,5.544
120,5.917
130,5.849
140,5.83
150,5.801
160,5.852
170,5.28
180,5.495
190,4.888
200,5.004
210,4.399
220,3.832
230,4.435
240,4.157
250,4.116
260,4.626
270,4.283
280,4.09
290,4.366
300,4.023
310,3.983
320,4.155
330,3.999
340,3.566
350,3.552
360,3.06
370,2.9
380,3.264
390,2.974
400,2.678
410,2.808
420,3.177
430,3.054
440,3.099
450,2.938
460,2.824
470,2.607
