seconds,mean_intensity
-20,5
-10,5.214
0,5.173
10,5.663
20,6.054
30,5.884
40,6.187
50,5.677
60,4.983
70,4.881
80,4.884
90,5.405
100,5.32
110,5.946
120,6.262
130,4.84
140,4.687
150,4.51
160,4.088
170,3.677
180,3.684
190,4.078
200,4.031
210,4.367
220,3.952
230,3.803
240,3.963
250,3.69
260,3.432
270,4
280,3.66
290,3.769
300,4.007
310,3.364
320,3.503
330,3.554
340,3.463
350,3.122
360,3.276
370,3.33
380,3.282
390,3.265
400,3.35
410,3.463
420,3.269
430,3.425
440,3.357
450,3.259
460,3.126
470,3.231
