seconds,mean_intensity
-20,9.729
-10,11.169
0,9.662
10,9.301
20,9.406
30,10.759
40,9.485
50,9.395
60,7.763
70,7.165
80,7.398
90,6.989
100,7.026
110,6.549
120,7.511
130,7.402
140,7.553
150,7.342
160,6.782
170,7.18
180,7.128
190,7.278
200,6.921
210,6.996
220,7.053
230,6.643
240,6.575
250,7.323
260,6.932
270,7.132
280,6.695
290,6.079
300,7.286
310,7.936
320,6.883
330,9.481
340,8.647
350,9.474
360,9.102
370,7.808
380,7.376
390,7.891
400,9.699
410,8.85
420,8.301
430,8.06
440,7.925
450,8.816
460,7.88
470,8.451
