seconds,mean_intensity
-20,9.283
-10,8.928
0,8.836
10,8.303
20,7.684
30,7.112
40,7.539
50,8.039
60,8.191
70,7.921
80,7.691
90,7.941
100,7.658
110,8.289
120,7.566
130,7.414
140,7.053
150,7.243
160,8
170,7.046
180,6.941
190,6.467
200,6.75
210,7.118
220,7.355
230,7.23
240,8.375
250,8.526
260,8.461
270,7.289
280,7.553
290,7.243
300,8.099
310,8.033
320,8.941
330,7.717
340,7.368
350,7.987
360,8.145
370,8.237
380,7.625
390,6.862
400,7.743
410,7.974
420,7.967
430,7.967
440,8.77
450,8.349
460,8.651
470,8.243
