seconds,mean_intensity
-20,16.946
-10,15.757
0,14.885
10,17.236
20,16.932
30,14.635
40,11.216
50,11.142
60,12.311
70,11.953
80,11.365
90,10.182
100,10.027
110,10.412
120,12.676
130,13.358
140,12.209
150,12.23
160,10.378
170,10.973
180,13.459
190,13.764
200,14.412
210,12.736
220,11.953
230,12.696
240,12.399
250,14.466
260,14.608
270,13.919
280,9.851
290,10.419
300,7.169
310,7.797
320,8.101
330,8.365
340,9.919
350,9.25
360,8.182
370,7.615
380,7.297
390,7.635
400,6.824
410,7.797
420,7.5
430,7.541
440,7.054
450,6.432
460,7.399
470,7.041
