seconds,mean_intensity
-20,11.041
-10,10.644
0,1.962
10,1.91
20,2.185
30,2.644
40,2.244
50,2.126
60,2.195
70,1.892
80,2.267
90,2.451
100,2.344
110,2.99
120,3.095
130,3.056
140,2.892
150,3.19
160,2.644
170,3.164
180,2.669
190,3.067
200,2.903
210,2.818
220,2.774
230,2.759
240,2.587
250,2.923
260,3.205
270,3.169
280,3.497
290,2.254
300,2.659
310,2.244
320,2.515
330,2.279
340,2.118
350,2.244
360,2.831
370,2.349
380,2.256
390,2.303
400,2.321
410,2.564
420,2.582
430,2.408
440,3.546
450,3.21
460,3.038
470,3.659
