seconds,mean_intensity
-20,5.022
-10,4.557
0,0.989
10,1.177
20,1.207
30,1.128
40,1.038
50,1.093
60,1.124
70,1.198
80,1.321
90,1.182
100,1.274
110,1.179
120,1.443
130,1.301
140,1.222
150,1.25
160,1.239
170,1.329
180,1.337
190,1.276
200,1.174
210,1.297
220,1.226
230,1.121
240,1.233
250,1.391
260,1.348
270,1.271
280,1.313
290,1.356
300,1.396
310,1.233
320,1.405
330,1.459
340,1.426
350,1.3
360,1.354
370,1.33
380,1.472
390,1.539
400,1.367
410,1.587
420,1.49
430,1.493
440,1.475
450,1.469
460,1.53
470,1.424
