seconds,mean_intensity
-20,10.526
-10,10.187
0,10.377
10,9.772
20,9.69
30,9.828
40,10.026
50,9.981
60,10.015
70,10.813
80,10.799
90,10.571
100,10.631
110,10.75
120,9.041
130,9.164
140,10.067
150,10.183
160,9.963
170,8.664
180,8.526
190,7.959
200,7.784
210,7.757
220,7.504
230,8.097
240,8.418
250,7.922
260,7.347
270,7.272
280,7.377
290,7.989
300,8.407
310,8.963
320,8.69
330,8.037
340,7.459
350,6.713
360,6.836
370,7.881
380,6.862
390,7.485
400,6.784
410,6.888
420,6.668
430,6.813
440,6.519
450,7.317
460,6.299
470,6.485
