seconds,mean_intensity
-20,4.658
-10,4.752
0,0.81
10,0.818
20,1.006
30,1.011
40,0.902
50,0.966
60,0.95
70,1.04
80,1.062
90,1.137
100,1.241
110,1.176
120,1.169
130,1.075
140,1.213
150,1.103
160,1.126
170,1.186
180,1.304
190,1.113
200,1.314
210,1.276
220,1.329
230,1.263
240,1.421
250,1.106
260,1.081
270,1.075
280,1.242
290,1.022
300,1.329
310,1.456
320,1.481
330,1.337
340,1.27
350,1.247
360,1.24
370,1.528
380,1.368
390,1.352
400,1.391
410,1.407
420,1.243
430,1.247
440,1.282
450,1.383
460,1.581
470,1.303
