seconds,mean_intensity
-20,8.47
-10,8.763
0,2.006
10,2.521
20,2.849
30,2.599
40,2.732
50,3.3
60,2.763
70,2.811
80,2.842
90,2.735
100,2.464
110,2.457
120,2.325
130,2.057
140,2.517
150,2.432
160,2.7
170,2.669
180,2.666
190,2.685
200,2.678
210,2.994
220,2.858
230,2.653
240,2.722
250,2.795
260,3.05
270,3.151
280,3.524
290,3.167
300,3.218
310,3.306
320,3.814
330,3.694
340,3.356
350,3.662
360,3.741
370,3.628
380,3.107
390,3.237
400,3.189
410,3.032
420,3.028
430,2.874
440,3.192
450,2.817
460,2.861
470,2.438
