seconds,mean_intensity
-20,7.36
-10,6.917
0,1.861
10,1.754
20,2.082
30,2.425
40,2.077
50,2.699
60,2.671
70,3.05
80,2.823
90,2.624
100,2.677
110,2.585
120,2.659
130,2.779
140,2.765
150,2.582
160,2.345
170,2.674
180,2.566
190,2.564
200,2.813
210,2.512
220,2.61
230,2.187
240,2.289
250,2.173
260,2.094
270,2.058
280,2.018
290,2.056
300,2.294
310,2.287
320,2.33
330,2.611
340,2.77
350,2.287
360,2.971
370,2.822
380,2.466
390,2.333
400,2.278
410,2.225
420,2.028
430,1.914
440,2.316
450,2.215
460,2.058
470,2.219
