seconds,mean_intensity
-20,4
-10,4.212
0,0.81
10,1.074
20,1.143
30,1.406
40,1.096
50,1.163
60,1.355
70,1.578
80,2.04
90,1.469
100,1.272
110,1.371
120,1.35
130,1.223
140,1.038
150,1.17
160,1.098
170,1.083
180,1.679
190,1.797
200,1.739
210,1.299
220,1.589
230,1.114
240,1.306
250,0.875
260,2.031
270,1.967
280,1.942
290,1.933
300,1.612
310,2.103
320,2.152
330,2.165
340,2.145
350,2.179
360,2.221
370,1.949
380,1.915
390,2.062
400,2.071
410,2.083
420,2
430,1.833
440,2.114
450,1.799
460,2.328
470,1.821
