,condition,sample,region_type,roi,t_step,t_sec,t_min,mean_intensity
42,Fat2_8min,1,bleached,2,42,400,6.666666666666667,2.278
43,Fat2_8min,1,bleached,2,43,410,6.833333333333333,2.225
44,Fat2_8min,1,bleached,2,44,420,7.0,2.028
45,Fat2_8min,1,bleached,2,45,430,7.166666666666667,1.9140000000000001
46,Fat2_8min,1,bleached,2,46,440,7.333333333333333,2.316
47,Fat2_8min,1,bleached,2,47,450,7.5,2.215
48,Fat2_8min,1,bleached,2,48,460,7.666666666666667,2.0580000000000003
49,Fat2_8min,1,bleached,2,49,470,7.833333333333333,2.219
0,Fat2_8min,1,bleached,3,0,-20,-0.3333333333333333,5.727
1,Fat2_8min,1,bleached,3,1,-10,-0.16666666666666666,5.271
2,Fat2_8min,1,bleached,3,2,0,0.0,1.794
3,Fat2_8min,1,bleached,3,3,10,0.16666666666666666,1.5419999999999998
4,Fat2_8min,1,bleached,3,4,20,0.3333333333333333,1.6019999999999999
5,Fat2_8min,1,bleached,3,5,30,0.5,1.768
6,Fat2_8min,1,bleached,3,6,40,0.6666666666666666,1.7209999999999999
7,Fat2_8min,1,bleached,3,7,50,0.8333333333333334,1.5830000000000002
8,Fat2_8min,1,bleached,3,8,60,1.0,1.94
9,Fat2_8min,1,bleached,3,9,70,1.1666666666666667,1.953
10,Fat2_8min,1,bleached,3,10,80,1.3333333333333333,2.609
11,Fat2_8min,1,bleached,3,11,90,1.5,2.102
12,Fat2_8min,1,bleached,3,12,100,1.6666666666666667,2.151
13,Fat2_8min,1,bleached,3,13,110,1.8333333333333333,2.654
14,Fat2_8min,1,bleached,3,14,120,2.0,2.438
15,Fat2_8min,1,bleached,3,15,130,2.1666666666666665,2.188
16,Fat2_8min,1,bleached,3,16,140,2.3333333333333335,1.995
17,Fat2_8min,1,bleached,3,17,150,2.5,2.427
18,Fat2_8min,1,bleached,3,18,160,2.6666666666666665,1.9609999999999999
19,Fat2_8min,1,bleached,3,19,170,2.8333333333333335,2.516
20,Fat2_8min,1,bleached,3,20,180,3.0,2.503
21,Fat2_8min,1,bleached,3,21,190,3.1666666666666665,2.484
22,Fat2_8min,1,bleached,3,22,200,3.3333333333333335,2.378
23,Fat2_8min,1,bleached,3,23,210,3.5,2.242
24,Fat2_8min,1,bleached,3,24,220,3.6666666666666665,2.432
25,Fat2_8min,1,bleached,3,25,230,3.8333333333333335,2.299
26,Fat2_8min,1,bleached,3,26,240,4.0,2.424
27,Fat2_8min,1,bleached,3,27,250,4.166666666666667,2.57
28,Fat2_8min,1,bleached,3,28,260,4.333333333333333,2.628
29,Fat2_8min,1,bleached,3,29,270,4.5,2.461
30,Fat2_8min,1,bleached,3,30,280,4.666666666666667,2.7030000000000003
31,Fat2_8min,1,bleached,3,31,290,4.833333333333333,2.565
32,Fat2_8min,1,bleached,3,32,300,5.0,2.292
33,Fat2_8min,1,bleached,3,33,310,5.166666666666667,2.596
34,Fat2_8min,1,bleached,3,34,320,5.333333333333333,2.844
35,Fat2_8min,1,bleached,3,35,330,5.5,2.885
36,Fat2_8min,1,bleached,3,36,340,5.666666666666667,2.471
37,Fat2_8min,1,bleached,3,37,350,5.833333333333333,2.362
38,Fat2_8min,1,bleached,3,38,360,6.0,2.484
39,Fat2_8min,1,bleached,3,39,370,6.166666666666667,2.135
40,Fat2_8min,1,bleached,3,40,380,6.333333333333333,2.315
41,Fat2_8min,1,bleached,3,41,390,6.5,2.424
