,condition,t_step,t_sec,t_min,mean_bleached,mean_control,mean_corr,mean_rescaled,std_rescaled
0,Fat2_8min,0,-20,-0.3333333333333333,9.706861111111111,9.180972222222223,1.057280304978594,1.018568366491734,0.11819399054475856
1,Fat2_8min,1,-10,-0.16666666666666666,9.287749999999997,8.9135,1.0419868738430467,1.0,0.0
2,Fat2_8min,2,0,0.0,1.8980277777777776,8.692249999999998,0.21835862725735894,0.0,0.0
3,Fat2_8min,3,10,0.16666666666666666,2.1026666666666665,8.66686111111111,0.24260994144362144,0.029444490626438797,0.04777011714956867
4,Fat2_8min,4,20,0.3333333333333333,2.0969444444444445,8.678555555555556,0.24162367009358954,0.028247019128684263,0.045064866566470026
5,Fat2_8min,5,30,0.5,2.277138888888889,8.645083333333334,0.2634027690755503,0.0546898943848997,0.060528297966183836
6,Fat2_8min,6,40,0.6666666666666666,2.2737222222222213,8.126472222222224,0.27979203768206085,0.07458876098454761,0.066124649486761
7,Fat2_8min,7,50,0.8333333333333334,2.3056944444444443,8.21502777777778,0.28066788169377926,0.07565215823366965,0.08110264871440141
8,Fat2_8min,8,60,1.0,2.297916666666666,8.01513888888889,0.28669704898715964,0.08297241141630879,0.0775717153857971
9,Fat2_8min,9,70,1.1666666666666667,2.3537777777777786,8.048277777777777,0.29245732351296705,0.08996619113390147,0.070119101493336
10,Fat2_8min,10,80,1.3333333333333333,2.4131388888888883,8.16397222222222,0.29558391714273075,0.0937623135261638,0.09162627009023078
11,Fat2_8min,11,90,1.5,2.483194444444445,7.9128333333333325,0.3138186209462829,0.11590179681749488,0.06353230693786635
12,Fat2_8min,12,100,1.6666666666666667,2.3969722222222227,7.716694444444447,0.3106216320315621,0.11202020469389576,0.05895394818715677
13,Fat2_8min,13,110,1.8333333333333333,2.4473055555555554,7.744833333333332,0.3159920233560725,0.11854061162113884,0.060118734388875265
14,Fat2_8min,14,120,2.0,2.516805555555556,7.906749999999999,0.31831100712120103,0.12135618257167599,0.07435633954946637
15,Fat2_8min,15,130,2.1666666666666665,2.49875,7.449694444444443,0.33541644139021365,0.1421245745493946,0.08308315538013124
16,Fat2_8min,16,140,2.3333333333333335,2.4826388888888884,7.63675,0.3250910254871363,0.1295880740761764,0.0661359654661204
17,Fat2_8min,17,150,2.5,2.605805555555556,7.590249999999999,0.3433095821027708,0.15170795242075558,0.06419374019853039
18,Fat2_8min,18,160,2.6666666666666665,2.573611111111111,7.456722222222224,0.345139732232661,0.15393001090099467,0.07385623507272931
19,Fat2_8min,19,170,2.8333333333333335,2.6483611111111114,7.499722222222224,0.3531278936256898,0.16362875718142322,0.06324552919764231
20,Fat2_8min,20,180,3.0,2.6330833333333334,7.53963888888889,0.3492320218696003,0.15889862344421876,0.06890294701161119
21,Fat2_8min,21,190,3.1666666666666665,2.6161111111111115,7.41125,0.352991885459418,0.16346362422631197,0.08533785393127441
22,Fat2_8min,22,200,3.3333333333333335,2.758888888888888,7.4455,0.3705444750371215,0.18477492535089937,0.08613601127772803
23,Fat2_8min,23,210,3.5,2.690055555555555,7.289083333333333,0.3690526548453356,0.18296364678199384,0.062421224493868985
24,Fat2_8min,24,220,3.6666666666666665,2.6059166666666673,7.082999999999999,0.36791143112617075,0.1815780414146503,0.0710031508762103
25,Fat2_8min,25,230,3.8333333333333335,2.6206111111111117,6.970916666666668,0.37593493602387695,0.19131969965787748,0.07641161605261894
26,Fat2_8min,26,240,4.0,2.516444444444444,7.034277777777778,0.35774027184343327,0.16922883007458087,0.07032643726986365
27,Fat2_8min,27,250,4.166666666666667,2.6060277777777774,6.882694444444444,0.37863482082679184,0.1945977377947519,0.0690623935018256
28,Fat2_8min,28,260,4.333333333333333,2.6454166666666667,6.830055555555556,0.38731993395205827,0.20514268105194366,0.0923686512549582
29,Fat2_8min,29,270,4.5,2.6384166666666666,6.614166666666666,0.3989038679601865,0.21920719869828337,0.09467991713857293
30,Fat2_8min,30,280,4.666666666666667,2.7394166666666666,6.534666666666666,0.4192129157314834,0.243865225976351,0.09431916360068011
31,Fat2_8min,31,290,4.833333333333333,2.6923888888888885,6.4655000000000005,0.4164239252786155,0.2404790011055679,0.0954474875820259
32,Fat2_8min,32,300,5.0,2.664805555555555,6.340805555555556,0.4202629353963963,0.24514009685318858,0.09589418739751188
33,Fat2_8min,33,310,5.166666666666667,2.79425,6.2698333333333345,0.4456657540072835,0.2759826750627065,0.11098033784838762
34,Fat2_8min,34,320,5.333333333333333,2.774861111111111,6.26975,0.4425792274191333,0.2722351996683824,0.11222384694635772
35,Fat2_8min,35,330,5.5,2.710861111111111,6.380972222222223,0.4248351217813377,0.25069137123443425,0.09785743197372113
36,Fat2_8min,36,340,5.666666666666667,2.7544444444444447,6.2764444444444445,0.43885426993343724,0.2677125797835767,0.09292730992438471
37,Fat2_8min,37,350,5.833333333333333,2.7248333333333337,6.174611111111111,0.44129634794813893,0.2706776043863938,0.10887567367261697
38,Fat2_8min,38,360,6.0,2.7631666666666668,6.043722222222223,0.4571961723367682,0.2899822171829331,0.1059779265023012
39,Fat2_8min,39,370,6.166666666666667,2.888888888888889,6.201138888888888,0.4658642453671145,0.3005064713792643,0.12443544914490529
