,condition,sample,region_type,roi,t_step,t_sec,t_min,mean_intensity
0,Fat2_30min,1,bleached,1,0,-60.0,-1.0,7.891
1,Fat2_30min,1,bleached,1,1,-30.0,-0.5,8.297
2,Fat2_30min,1,bleached,1,2,0.0,0.0,1.97
3,Fat2_30min,1,bleached,1,3,30.0,0.5,2.064
4,Fat2_30min,1,bleached,1,4,60.0,1.0,2.169
5,Fat2_30min,1,bleached,1,5,90.0,1.5,2.256
6,Fat2_30min,1,bleached,1,6,120.0,2.0,2.406
7,Fat2_30min,1,bleached,1,7,150.0,2.5,2.6689999999999996
8,Fat2_30min,1,bleached,1,8,180.0,3.0,2.805
9,Fat2_30min,1,bleached,1,9,210.0,3.5,2.346
10,Fat2_30min,1,bleached,1,10,240.0,4.0,3.466
11,Fat2_30min,1,bleached,1,11,270.0,4.5,3.053
12,Fat2_30min,1,bleached,1,12,300.0,5.0,4.06
13,Fat2_30min,1,bleached,1,13,330.0,5.5,4.008
14,Fat2_30min,1,bleached,1,14,360.0,6.0,3.165
15,Fat2_30min,1,bleached,1,15,390.0,6.5,3.8680000000000003
16,Fat2_30min,1,bleached,1,16,420.0,7.0,4.395
17,Fat2_30min,1,bleached,1,17,450.0,7.5,4.188
18,Fat2_30min,1,bleached,1,18,480.0,8.0,4.015
19,Fat2_30min,1,bleached,1,19,510.0,8.5,4.177
20,Fat2_30min,1,bleached,1,20,540.0,9.0,4.207
21,Fat2_30min,1,bleached,1,21,570.0,9.5,4.519
22,Fat2_30min,1,bleached,1,22,600.0,10.0,4.2139999999999995
23,Fat2_30min,1,bleached,1,23,630.0,10.5,3.09
24,Fat2_30min,1,bleached,1,24,660.0,11.0,3.861
25,Fat2_30min,1,bleached,1,25,690.0,11.5,4.417
26,Fat2_30min,1,bleached,1,26,720.0,12.0,4.305
27,Fat2_30min,1,bleached,1,27,750.0,12.5,4.297
28,Fat2_30min,1,bleached,1,28,780.0,13.0,4.143
29,Fat2_30min,1,bleached,1,29,810.0,13.5,3.639
30,Fat2_30min,1,bleached,1,30,840.0,14.0,4.263
31,Fat2_30min,1,bleached,1,31,870.0,14.5,4.342
32,Fat2_30min,1,bleached,1,32,900.0,15.0,5.004
33,Fat2_30min,1,bleached,1,33,930.0,15.5,4.515
34,Fat2_30min,1,bleached,1,34,960.0,16.0,6.082999999999999
35,Fat2_30min,1,bleached,1,35,990.0,16.5,6.372000000000001
36,Fat2_30min,1,bleached,1,36,1020.0,17.0,6.353
37,Fat2_30min,1,bleached,1,37,1050.0,17.5,5.737
38,Fat2_30min,1,bleached,1,38,1080.0,18.0,5.143
39,Fat2_30min,1,bleached,1,39,1110.0,18.5,6.064
40,Fat2_30min,1,bleached,1,40,1140.0,19.0,4.59
41,Fat2_30min,1,bleached,1,41,1170.0,19.5,5.8870000000000005
42,Fat2_30min,1,bleached,1,42,1200.0,20.0,4.598
43,Fat2_30min,1,bleached,1,43,1230.0,20.5,5.974
44,Fat2_30min,1,bleached,1,44,1260.0,21.0,4.414
45,Fat2_30min,1,bleached,1,45,1290.0,21.5,4.827
46,Fat2_30min,1,bleached,1,46,1320.0,22.0,4.68
47,Fat2_30min,1,bleached,1,47,1350.0,22.5,4.605
48,Fat2_30min,1,bleached,1,48,1380.0,23.0,5.782
49,Fat2_30min,1,bleached,1,49,1410.0,23.5,6.812
50,Fat2_30min,1,bleached,1,50,1440.0,24.0,6.812
51,Fat2_30min,1,bleached,1,51,1470.0,24.5,5.707000000000001
52,Fat2_30min,1,bleached,1,52,1500.0,25.0,4.665
53,Fat2_30min,1,bleached,1,53,1530.0,25.5,4.846
54,Fat2_30min,1,bleached,1,54,1560.0,26.0,4.91
55,Fat2_30min,1,bleached,1,55,1590.0,26.5,4.65
56,Fat2_30min,1,bleached,1,56,1620.0,27.0,4.816
57,Fat2_30min,1,bleached,1,57,1650.0,27.5,4.56
58,Fat2_30min,1,bleached,1,58,1680.0,28.0,5.093999999999999
59,Fat2_30min,1,bleached,1,59,1710.0,28.5,3.515
60,Fat2_30min,1,bleached,1,60,1740.0,29.0,4.297
0,Fat2_30min,1,bleached,2,0,-60.0,-1.0,5.457000000000001
1,Fat2_30min,1,bleached,2,1,-30.0,-0.5,5.482
2,Fat2_30min,1,bleached,2,2,0.0,0.0,1.7819999999999998
3,Fat2_30min,1,bleached,2,3,30.0,0.5,2.039
4,Fat2_30min,1,bleached,2,4,60.0,1.0,2.224
5,Fat2_30min,1,bleached,2,5,90.0,1.5,2.401
6,Fat2_30min,1,bleached,2,6,120.0,2.0,2.2159999999999997
7,Fat2_30min,1,bleached,2,7,150.0,2.5,1.6469999999999998
8,Fat2_30min,1,bleached,2,8,180.0,3.0,1.964
9,Fat2_30min,1,bleached,2,9,210.0,3.5,2.583
10,Fat2_30min,1,bleached,2,10,240.0,4.0,2.591
11,Fat2_30min,1,bleached,2,11,270.0,4.5,2.485
12,Fat2_30min,1,bleached,2,12,300.0,5.0,2.585
13,Fat2_30min,1,bleached,2,13,330.0,5.5,2.56
14,Fat2_30min,1,bleached,2,14,360.0,6.0,2.77
15,Fat2_30min,1,bleached,2,15,390.0,6.5,2.728
16,Fat2_30min,1,bleached,2,16,420.0,7.0,3.409
17,Fat2_30min,1,bleached,2,17,450.0,7.5,2.728
18,Fat2_30min,1,bleached,2,18,480.0,8.0,2.9160000000000004
19,Fat2_30min,1,bleached,2,19,510.0,8.5,5.042
20,Fat2_30min,1,bleached,2,20,540.0,9.0,5.042
21,Fat2_30min,1,bleached,2,21,570.0,9.5,4.459
22,Fat2_30min,1,bleached,2,22,600.0,10.0,4.796
23,Fat2_30min,1,bleached,2,23,630.0,10.5,5.263
24,Fat2_30min,1,bleached,2,24,660.0,11.0,5.91
25,Fat2_30min,1,bleached,2,25,690.0,11.5,5.9270000000000005
26,Fat2_30min,1,bleached,2,26,720.0,12.0,4.258
27,Fat2_30min,1,bleached,2,27,750.0,12.5,4.23
28,Fat2_30min,1,bleached,2,28,780.0,13.0,4.1339999999999995
29,Fat2_30min,1,bleached,2,29,810.0,13.5,4.9239999999999995
30,Fat2_30min,1,bleached,2,30,840.0,14.0,5.252000000000001
31,Fat2_30min,1,bleached,2,31,870.0,14.5,5.768
32,Fat2_30min,1,bleached,2,32,900.0,15.0,5.188
33,Fat2_30min,1,bleached,2,33,930.0,15.5,4.821000000000001
34,Fat2_30min,1,bleached,2,34,960.0,16.0,5.188
35,Fat2_30min,1,bleached,2,35,990.0,16.5,5.008
36,Fat2_30min,1,bleached,2,36,1020.0,17.0,4.496
37,Fat2_30min,1,bleached,2,37,1050.0,17.5,3.964
38,Fat2_30min,1,bleached,2,38,1080.0,18.0,4.723
39,Fat2_30min,1,bleached,2,39,1110.0,18.5,3.4619999999999997
40,Fat2_30min,1,bleached,2,40,1140.0,19.0,3.557
41,Fat2_30min,1,bleached,2,41,1170.0,19.5,4.006
42,Fat2_30min,1,bleached,2,42,1200.0,20.0,3.966
43,Fat2_30min,1,bleached,2,43,1230.0,20.5,3.384
44,Fat2_30min,1,bleached,2,44,1260.0,21.0,3.6189999999999998
45,Fat2_30min,1,bleached,2,45,1290.0,21.5,4.754
46,Fat2_30min,1,bleached,2,46,1320.0,22.0,4.4510000000000005
47,Fat2_30min,1,bleached,2,47,1350.0,22.5,5.902
48,Fat2_30min,1,bleached,2,48,1380.0,23.0,6.445
49,Fat2_30min,1,bleached,2,49,1410.0,23.5,6.978
50,Fat2_30min,1,bleached,2,50,1440.0,24.0,7.664
51,Fat2_30min,1,bleached,2,51,1470.0,24.5,7.305
52,Fat2_30min,1,bleached,2,52,1500.0,25.0,6.557
53,Fat2_30min,1,bleached,2,53,1530.0,25.5,5.885
54,Fat2_30min,1,bleached,2,54,1560.0,26.0,5.885
55,Fat2_30min,1,bleached,2,55,1590.0,26.5,5.891
56,Fat2_30min,1,bleached,2,56,1620.0,27.0,5.697
57,Fat2_30min,1,bleached,2,57,1650.0,27.5,5.468
58,Fat2_30min,1,bleached,2,58,1680.0,28.0,5.098
59,Fat2_30min,1,bleached,2,59,1710.0,28.5,4.473
60,Fat2_30min,1,bleached,2,60,1740.0,29.0,5.877000000000001
0,Fat2_30min,2,bleached,1,0,-60.0,-1.0,12.208
1,Fat2_30min,2,bleached,1,1,-30.0,-0.5,10.945
2,Fat2_30min,2,bleached,1,2,0.0,0.0,2.404
3,Fat2_30min,2,bleached,1,3,30.0,0.5,2.827
4,Fat2_30min,2,bleached,1,4,60.0,1.0,3.714
5,Fat2_30min,2,bleached,1,5,90.0,1.5,3.725
6,Fat2_30min,2,bleached,1,6,120.0,2.0,3.8939999999999997
7,Fat2_30min,2,bleached,1,7,150.0,2.5,3.2510000000000003
8,Fat2_30min,2,bleached,1,8,180.0,3.0,3.8080000000000003
9,Fat2_30min,2,bleached,1,9,210.0,3.5,3.647
10,Fat2_30min,2,bleached,1,10,240.0,4.0,3.451
11,Fat2_30min,2,bleached,1,11,270.0,4.5,3.7569999999999997
12,Fat2_30min,2,bleached,1,12,300.0,5.0,3.5610000000000004
13,Fat2_30min,2,bleached,1,13,330.0,5.5,3.6
14,Fat2_30min,2,bleached,1,14,360.0,6.0,3.286
15,Fat2_30min,2,bleached,1,15,390.0,6.5,3.733
16,Fat2_30min,2,bleached,1,16,420.0,7.0,3.114
17,Fat2_30min,2,bleached,1,17,450.0,7.5,3.0669999999999997
18,Fat2_30min,2,bleached,1,18,480.0,8.0,3.2119999999999997
19,Fat2_30min,2,bleached,1,19,510.0,8.5,3.4389999999999996
20,Fat2_30min,2,bleached,1,20,540.0,9.0,3.847
21,Fat2_30min,2,bleached,1,21,570.0,9.5,3.82
22,Fat2_30min,2,bleached,1,22,600.0,10.0,3.592
23,Fat2_30min,2,bleached,1,23,630.0,10.5,3.408
24,Fat2_30min,2,bleached,1,24,660.0,11.0,2.678
25,Fat2_30min,2,bleached,1,25,690.0,11.5,3.29
26,Fat2_30min,2,bleached,1,26,720.0,12.0,3.18
27,Fat2_30min,2,bleached,1,27,750.0,12.5,3.824
28,Fat2_30min,2,bleached,1,28,780.0,13.0,3.5610000000000004
29,Fat2_30min,2,bleached,1,29,810.0,13.5,4.498
30,Fat2_30min,2,bleached,1,30,840.0,14.0,4.3180000000000005
31,Fat2_30min,2,bleached,1,31,870.0,14.5,4.024
32,Fat2_30min,2,bleached,1,32,900.0,15.0,3.9410000000000003
33,Fat2_30min,2,bleached,1,33,930.0,15.5,3.918
34,Fat2_30min,2,bleached,1,34,960.0,16.0,3.929
35,Fat2_30min,2,bleached,1,35,990.0,16.5,4.871
36,Fat2_30min,2,bleached,1,36,1020.0,17.0,4.522
37,Fat2_30min,2,bleached,1,37,1050.0,17.5,4.894
38,Fat2_30min,2,bleached,1,38,1080.0,18.0,4.706
39,Fat2_30min,2,bleached,1,39,1110.0,18.5,4.475
40,Fat2_30min,2,bleached,1,40,1140.0,19.0,4.388
41,Fat2_30min,2,bleached,1,41,1170.0,19.5,4.745
42,Fat2_30min,2,bleached,1,42,1200.0,20.0,4.376
43,Fat2_30min,2,bleached,1,43,1230.0,20.5,5.569
44,Fat2_30min,2,bleached,1,44,1260.0,21.0,4.204
45,Fat2_30min,2,bleached,1,45,1290.0,21.5,4.11
46,Fat2_30min,2,bleached,1,46,1320.0,22.0,3.275
47,Fat2_30min,2,bleached,1,47,1350.0,22.5,3.945
48,Fat2_30min,2,bleached,1,48,1380.0,23.0,3.408
49,Fat2_30min,2,bleached,1,49,1410.0,23.5,3.2430000000000003
50,Fat2_30min,2,bleached,1,50,1440.0,24.0,3.69
51,Fat2_30min,2,bleached,1,51,1470.0,24.5,3.478
52,Fat2_30min,2,bleached,1,52,1500.0,25.0,3.373
53,Fat2_30min,2,bleached,1,53,1530.0,25.5,3.392
54,Fat2_30min,2,bleached,1,54,1560.0,26.0,3.949
55,Fat2_30min,2,bleached,1,55,1590.0,26.5,3.7960000000000003
56,Fat2_30min,2,bleached,1,56,1620.0,27.0,3.5839999999999996
57,Fat2_30min,2,bleached,1,57,1650.0,27.5,4.035
58,Fat2_30min,2,bleached,1,58,1680.0,28.0,3.38
59,Fat2_30min,2,bleached,1,59,1710.0,28.5,3.2239999999999998
60,Fat2_30min,2,bleached,1,60,1740.0,29.0,3.702
0,Fat2_30min,2,bleached,2,0,-60.0,-1.0,5.466
1,Fat2_30min,2,bleached,2,1,-30.0,-0.5,5.604
2,Fat2_30min,2,bleached,2,2,0.0,0.0,2.135
3,Fat2_30min,2,bleached,2,3,30.0,0.5,2.109
4,Fat2_30min,2,bleached,2,4,60.0,1.0,2.094
5,Fat2_30min,2,bleached,2,5,90.0,1.5,2.6039999999999996
6,Fat2_30min,2,bleached,2,6,120.0,2.0,2.2319999999999998
7,Fat2_30min,2,bleached,2,7,150.0,2.5,3.466
8,Fat2_30min,2,bleached,2,8,180.0,3.0,3.398
9,Fat2_30min,2,bleached,2,9,210.0,3.5,4.13
10,Fat2_30min,2,bleached,2,10,240.0,4.0,4.365
11,Fat2_30min,2,bleached,2,11,270.0,4.5,4.599
12,Fat2_30min,2,bleached,2,12,300.0,5.0,4.602
13,Fat2_30min,2,bleached,2,13,330.0,5.5,4.763
14,Fat2_30min,2,bleached,2,14,360.0,6.0,4.641
15,Fat2_30min,2,bleached,2,15,390.0,6.5,4.552
16,Fat2_30min,2,bleached,2,16,420.0,7.0,3.833
17,Fat2_30min,2,bleached,2,17,450.0,7.5,3.617
18,Fat2_30min,2,bleached,2,18,480.0,8.0,3.161
19,Fat2_30min,2,bleached,2,19,510.0,8.5,4.138
20,Fat2_30min,2,bleached,2,20,540.0,9.0,3.281
21,Fat2_30min,2,bleached,2,21,570.0,9.5,3.273
22,Fat2_30min,2,bleached,2,22,600.0,10.0,3.016
23,Fat2_30min,2,bleached,2,23,630.0,10.5,3.951
24,Fat2_30min,2,bleached,2,24,660.0,11.0,3.844
25,Fat2_30min,2,bleached,2,25,690.0,11.5,4.542
26,Fat2_30min,2,bleached,2,26,720.0,12.0,3.667
27,Fat2_30min,2,bleached,2,27,750.0,12.5,3.284
28,Fat2_30min,2,bleached,2,28,780.0,13.0,3.052
29,Fat2_30min,2,bleached,2,29,810.0,13.5,3.0860000000000003
30,Fat2_30min,2,bleached,2,30,840.0,14.0,3.7710000000000004
31,Fat2_30min,2,bleached,2,31,870.0,14.5,3.57
32,Fat2_30min,2,bleached,2,32,900.0,15.0,4.125
33,Fat2_30min,2,bleached,2,33,930.0,15.5,4.581
34,Fat2_30min,2,bleached,2,34,960.0,16.0,4.0
35,Fat2_30min,2,bleached,2,35,990.0,16.5,3.8960000000000004
36,Fat2_30min,2,bleached,2,36,1020.0,17.0,4.156000000000001
37,Fat2_30min,2,bleached,2,37,1050.0,17.5,4.19
38,Fat2_30min,2,bleached,2,38,1080.0,18.0,4.102
39,Fat2_30min,2,bleached,2,39,1110.0,18.5,3.049
40,Fat2_30min,2,bleached,2,40,1140.0,19.0,4.242
41,Fat2_30min,2,bleached,2,41,1170.0,19.5,4.471
42,Fat2_30min,2,bleached,2,42,1200.0,20.0,4.57
43,Fat2_30min,2,bleached,2,43,1230.0,20.5,4.154
44,Fat2_30min,2,bleached,2,44,1260.0,21.0,5.06
45,Fat2_30min,2,bleached,2,45,1290.0,21.5,4.625
46,Fat2_30min,2,bleached,2,46,1320.0,22.0,5.669
47,Fat2_30min,2,bleached,2,47,1350.0,22.5,5.8260000000000005
48,Fat2_30min,2,bleached,2,48,1380.0,23.0,5.362
49,Fat2_30min,2,bleached,2,49,1410.0,23.5,5.1610000000000005
50,Fat2_30min,2,bleached,2,50,1440.0,24.0,3.997
51,Fat2_30min,2,bleached,2,51,1470.0,24.5,3.698
52,Fat2_30min,2,bleached,2,52,1500.0,25.0,4.0680000000000005
53,Fat2_30min,2,bleached,2,53,1530.0,25.5,4.599
54,Fat2_30min,2,bleached,2,54,1560.0,26.0,3.9219999999999997
55,Fat2_30min,2,bleached,2,55,1590.0,26.5,4.263
56,Fat2_30min,2,bleached,2,56,1620.0,27.0,3.906
57,Fat2_30min,2,bleached,2,57,1650.0,27.5,5.456
58,Fat2_30min,2,bleached,2,58,1680.0,28.0,5.396
59,Fat2_30min,2,bleached,2,59,1710.0,28.5,5.938
60,Fat2_30min,2,bleached,2,60,1740.0,29.0,5.497000000000001
0,Fat2_30min,2,bleached,3,0,-60.0,-1.0,7.19
1,Fat2_30min,2,bleached,3,1,-30.0,-0.5,7.365
2,Fat2_30min,2,bleached,3,2,0.0,0.0,2.135
3,Fat2_30min,2,bleached,3,3,30.0,0.5,2.181
4,Fat2_30min,2,bleached,3,4,60.0,1.0,2.56
5,Fat2_30min,2,bleached,3,5,90.0,1.5,2.404
6,Fat2_30min,2,bleached,3,6,120.0,2.0,2.602
7,Fat2_30min,2,bleached,3,7,150.0,2.5,2.61
8,Fat2_30min,2,bleached,3,8,180.0,3.0,2.8310000000000004
9,Fat2_30min,2,bleached,3,9,210.0,3.5,2.3209999999999997
10,Fat2_30min,2,bleached,3,10,240.0,4.0,2.4330000000000003
11,Fat2_30min,2,bleached,3,11,270.0,4.5,2.296
12,Fat2_30min,2,bleached,3,12,300.0,5.0,2.273
