,basename,spearmans_r
0,Ecad_Abi_01,0.4870100894975029
1,Ecad_Abi_02,0.5232917656437318
2,Ecad_Abi_03,0.4520483693978156
3,Ecad_Abi_04,0.4411469548554428
4,Ecad_Abi_05,0.5170072313146085
5,Ecad_Abi_06,0.4851045232127937
6,Ecad_Abi_07,0.49296910068771416
7,Ecad_Abi_08,0.5409191071901936
8,Ecad_Abi_09,0.4939945560874032
9,Ecad_Abi_10,0.5039075834415535
10,Ecad_Abi_11,0.49572897122164994
11,Ecad_Abi_12,0.5743143884713143
12,Ecad_Abi_13,0.5093354074270394
13,Ecad_Abi_14,0.5290181335754361
14,Ecad_Abi_15,0.5127838364057969
15,Ecad_Abi_16,0.6100968571697666
16,Ecad_Abi_17,0.43815320673812463
