seconds,mean_intensity
-20,12.734
-10,12.731
0,3.308
10,4.843
20,5.45
30,6.592
40,7.352
50,7.198
60,6.994
70,6.648
80,7.027
90,7.947
100,7.595
110,6.911
120,7.982
130,8.533
140,7.722
150,8.112
160,9
170,9.568
180,8.201
190,8.766
200,9.018
210,8.231
220,7.544
230,8.583
240,8.547
250,7.769
260,8.503
270,8.876
280,9.331
290,8.441
300,9.121
310,8.275
320,9.095
330,9.42
340,9.219
350,9.414
360,8.731
370,8.447
380,8.527
390,8.944
400,8.464
410,8.725
420,9.609
430,9.438
440,8.373
450,8.192
460,8.317
470,8.917
