seconds,mean_intensity
-20,8.684
-10,8.637
0,8.821
10,9.137
20,9.189
30,8.236
40,8.764
50,9.075
60,7.34
70,7.59
80,6.514
90,8.226
100,7.844
110,7.278
120,6.458
130,7.877
140,7.061
150,7.42
160,7.042
170,6.943
180,6.811
190,6.873
200,7.962
210,7.175
220,7.208
230,7.481
240,8.476
250,7.321
260,7.443
270,8.146
280,8.118
290,7.354
300,7.547
310,8.646
320,7.458
330,7.887
340,7.726
350,8.212
360,9.618
370,9.618
380,7.656
390,8.703
400,8.632
410,8.745
420,8.354
430,7.849
440,7.557
450,7.5
460,8.646
470,8.604
