seconds,mean_intensity
-20,15.193
-10,16.107
0,3.507
10,4.973
20,6.053
30,8.953
40,6.88
50,7.473
60,9.453
70,8.2
80,8.64
90,8.833
100,10.047
110,10.387
120,10.433
130,11.527
140,10.56
150,10.54
160,11.68
170,12.68
180,12.56
190,10.76
200,11.507
210,10.587
220,11.587
230,11.253
240,11.613
250,11.553
260,11.887
270,12.16
280,12.167
290,12.04
300,12.833
310,11.747
320,12.58
330,13.713
340,11.04
350,11.22
360,11.7
370,13.553
380,13.827
390,14.987
400,13.52
410,14.78
420,13.607
430,13.26
440,11.533
450,11.773
460,12.047
470,10.587
