seconds,mean_intensity
-20,14.739
-10,14.182
0,15.918
10,15.733
20,16.843
30,15.827
40,16.984
50,16.522
60,15.629
70,13.613
80,14.736
90,13.651
100,11.682
110,12.597
120,12.377
130,12.994
140,11.45
150,12.921
160,13.17
170,12.802
180,11.264
190,13.846
200,13.959
210,14.349
220,14.811
230,15.695
240,14.195
250,14.362
260,15.368
270,15.16
280,13.723
290,14.135
300,12.896
310,13.764
320,13.698
330,12.522
340,14.642
350,14.956
360,15.097
370,14.623
380,13.119
390,12.314
400,11.56
410,12.274
420,10.399
430,11.991
440,12.17
450,11.365
460,13.057
470,12.198
