seconds,mean_intensity
-20,10.603
-10,9.539
0,10.178
10,10.919
20,10.679
30,9.565
40,9.658
50,9.355
60,10.172
70,9.577
80,10.401
90,10.452
100,10.072
110,10.631
120,9.696
130,8.949
140,8.881
150,9.142
160,9.699
170,9.754
180,10.915
190,11.531
200,11.667
210,11.452
220,10.372
230,12.206
240,12.034
250,10.909
260,12.586
270,13.117
280,12.096
290,11.622
300,10.962
310,10.446
320,11.121
330,11.718
340,10.771
350,10.285
360,11.028
370,11.285
380,10.352
390,10.206
400,9.293
410,10.257
420,9.318
430,10.395
440,10.098
450,9.62
460,9.367
470,9.669
