seconds,mean_intensity
-20,14.763
-10,13.2
0,11.707
10,12.019
20,12.153
30,12.088
40,11.451
50,12.4
60,10.953
70,12.367
80,12.186
90,12.609
100,12.326
110,12.753
120,13.419
130,12.791
140,12.884
150,11.451
160,10.693
170,10.521
180,10.293
190,10.577
200,12.065
210,10.442
220,11.507
230,12.074
240,12.833
250,11.493
260,12.712
270,11.981
280,12.172
290,9.963
300,10.27
310,10.856
320,10.953
330,9.688
340,10.595
350,8.735
360,10.13
370,11.456
380,11.456
390,10.847
400,9.94
410,9.516
420,9.665
430,9.763
440,10.595
450,10.688
460,8.367
470,8.963
