seconds,mean_intensity
-20,15.173
-10,17.177
0,3.786
10,5.759
20,6.482
30,8.105
40,7.309
50,8.65
60,10.486
70,9.891
80,8.945
90,9.95
100,10.355
110,8.877
120,9.227
130,10.882
140,10.627
150,10.318
160,11.15
170,11.568
180,10.641
190,12.073
200,11.8
210,12.418
220,11.973
230,10.732
240,10.482
250,12.268
260,13.341
270,12.209
280,11.518
290,14.141
300,12.686
310,13.023
320,10.891
330,11.673
340,12.741
350,10.909
360,11.605
370,12.036
380,10.955
390,10.359
400,11.673
410,11.818
420,10.191
430,12.777
440,12.295
450,11.65
460,12.868
470,12.195
