seconds,mean_intensity
-20,13.962
-10,16.269
0,4.912
10,6.357
20,7.885
30,8.379
40,7.912
50,9.945
60,9.247
70,10.462
80,9.484
90,9.236
100,8.907
110,8.764
120,8.192
130,8.588
140,7.879
150,7.549
160,9.176
170,9.896
180,7.907
190,7.198
200,7.731
210,8.027
220,8.28
230,7.154
240,6.319
250,7.214
260,9.236
270,7.786
280,7.824
290,6.984
300,8.066
310,9.247
320,7.451
330,8.357
340,7.89
350,8.088
360,6.742
370,7.736
380,7.56
390,9.236
400,6.89
410,8.775
420,10.082
430,10.445
440,11.297
450,8.533
460,10.011
470,9.56
