seconds,mean_intensity
-20,10.673
-10,11.423
0,2.865
10,4.532
20,5.096
30,6.16
40,6.372
50,5.981
60,6.974
70,6.199
80,6.244
90,6.558
100,7.673
110,7.821
120,8.192
130,8.269
140,7.538
150,7.397
160,7.128
170,8.167
180,7.942
190,8.269
200,11.455
210,9.609
220,8.904
230,9.468
240,10.712
250,8.109
260,9.205
270,7.109
280,8.423
290,8.821
300,8.224
310,9.199
320,7.891
330,9.474
340,10.077
350,9.513
360,10.474
370,9.308
380,9.417
390,10.224
400,8.75
410,9.699
420,9.41
430,10.494
440,9.321
450,8.833
460,9.122
470,10.756
