,position (um),Fat2 intensity,Abi intensity
190,13.09,9.5243,2.48
191,13.1588,7.3013,2.0039
192,13.2277,6.9144,1.121
193,13.2966,5.8153,1.2826
194,13.3655,5.7111,1.367
195,13.4344,5.2358,1.2447
196,13.5033,5.0868,0.5717
197,13.5722,3.6125,1.2916
198,13.6411,4.9069,0.906
199,13.71,5.3417,0.7953
200,13.7789,4.2747,0.9749
201,13.8478,5.4497,1.5439
202,13.9167,5.9592,1.5777
203,13.9856,7.3051,1.4533
204,14.0545,9.3513,1.944
205,14.1234,7.7264,1.2598
206,14.1923,9.1157,1.865
207,14.2612,9.9531,2.2727
208,14.3301,15.0107,1.9212
209,14.3989,18.133,2.1578
210,14.4678,17.6944,2.9919
211,14.5367,17.837,2.4398
212,14.6056,19.2799,1.8475
213,14.6745,14.3502,2.1693
214,14.7434,11.645,2.602
215,14.8123,12.8399,2.6356
216,14.8812,18.7383,2.7989
217,14.9501,22.6807,2.9371
218,15.019,19.1044,2.8823
219,15.0879,17.1752,3.2577
220,15.1568,21.8362,3.0831
221,15.2257,26.6146,3.3429
222,15.2946,28.2388,3.2265
223,15.3635,23.5096,2.9477
224,15.4324,19.4091,2.5704
225,15.5013,17.6122,2.1732
226,15.5702,15.6555,1.9412
227,15.6391,18.2556,2.4435
228,15.7079,15.8518,2.2968
229,15.7768,15.9828,2.7246
230,15.8457,18.817,2.4221
231,15.9146,25.3186,2.9146
232,15.9835,29.6252,3.3104
233,16.0524,23.1316,2.3654
234,16.1213,19.6325,2.6396
235,16.1902,16.5325,1.8815
236,16.2591,15.4635,1.3898
237,16.328,12.7716,1.8902
238,16.3969,9.4901,1.4511
239,16.4658,8.4799,1.8803
240,16.5347,7.9343,1.5597
241,16.6036,7.895,1.1934
242,16.6725,7.4844,1.5768
243,16.7414,6.9944,1.8482
244,16.8103,6.7578,1.4658
245,16.8792,6.7213,1.3244
246,16.948,6.7624,1.3783
247,17.0169,5.5563,1.4356
248,17.0858,4.0841,1.18
249,17.1547,5.0156,1.2551
250,17.2236,7.1015,1.2429
251,17.2925,11.5039,1.6377
252,17.3614,12.9249,1.5871
253,17.4303,12.1317,2.1754
254,17.4992,11.1491,1.9086
255,17.5681,11.5344,2.1719
256,17.637,9.6252,1.7883
257,17.7059,10.4596,1.4063
258,17.7748,8.125,1.3147
259,17.8437,7.8228,1.093
260,17.9126,6.5771,1.4049
261,17.9815,8.071,0.8004
262,18.0504,7.0073,1.1034
263,18.1193,9.6823,1.6675
264,18.1881,8.4504,1.2991
265,18.257,8.259,1.1648
266,18.3259,6.5037,0.8912
267,18.3948,4.9144,1.0132
268,18.4637,4.9269,0.6782
269,18.5326,8.1387,0.7391
270,18.6015,5.694,0.9327
271,18.6704,4.6759,1.049
272,18.7393,6.5203,1.1157
273,18.8082,5.076,1.0278
274,18.8771,5.3278,1.8948
275,18.946,4.4942,1.0054
276,19.0149,4.908,0.9518
277,19.0838,4.868,1.6166
278,19.1527,3.525,1.894
279,19.2216,4.5741,2.6487
280,19.2905,10.5551,1.968
281,19.3594,19.4831,1.8032
282,19.4282,31.8347,2.2238
283,19.4971,35.2074,2.3794
284,19.566,37.0712,2.1793
285,19.6349,28.645,2.2789
286,19.7038,21.0026,2.0337
287,19.7727,23.3895,2.2673
288,19.8416,17.3038,2.0533
289,19.9105,16.582,1.3849
290,19.9794,10.2749,1.865
291,20.0483,5.9001,1.3597
292,20.1172,6.749,1.543
293,20.1861,5.1752,1.4119
294,20.255,6.3546,2.1433
295,20.3239,7.2026,2.6945
296,20.3928,6.1242,1.9194
297,20.4617,6.4643,1.753
298,20.5306,5.755,2.1548
299,20.5995,4.7136,2.1646
300,20.6683,4.9427,1.77
301,20.7372,4.3706,1.6621
302,20.8061,4.0488,1.9836
303,20.875,4.0439,1.1758
304,20.9439,4.3215,1.0838
305,21.0128,4.1973,1.2284
306,21.0817,5.188,1.4014
307,21.1506,7.4761,1.4311
308,21.2195,11.2296,2.0279
309,21.2884,13.2535,1.7495
310,21.3573,14.4357,2.111
311,21.4262,12.4123,2.5131
312,21.4951,12.0593,1.9485
313,21.564,13.6643,2.6706
314,21.6329,15.9007,2.5365
315,21.7018,24.3991,3.6781
316,21.7707,52.476,5.9379
317,21.8396,41.7193,4.5013
318,21.9084,37.5654,3.6134
319,21.9773,39.1597,2.9037
320,22.0462,36.0529,3.1918
321,22.1151,23.8803,3.3342
322,22.184,13.5026,2.2337
323,22.2529,8.6913,1.9445
324,22.3218,6.2394,1.9736
325,22.3907,6.8209,1.9298
326,22.4596,7.4616,1.531
327,22.5285,7.5467,1.7682
328,22.5974,10.5717,1.8513
329,22.6663,12.8348,1.8643
330,22.7352,12.1549,1.6393
331,22.8041,8.5548,1.3557
332,22.873,9.1888,1.1126
333,22.9419,6.2881,1.7531
334,23.0108,5.0011,1.3904
335,23.0797,3.9371,0.8481
336,23.1486,4.387,1.1903
337,23.2174,5.6338,1.1217
338,23.2863,6.8595,1.4693
