,position (um),Fat2 intensity,Abi intensity
0,0.0,69.7538,5.56229
1,0.0689,56.8809,4.11972
2,0.1378,53.1485,3.85172
3,0.2067,42.7136,3.57606
4,0.2756,29.6387,2.46885
5,0.3445,21.5034,2.02712
6,0.4134,14.6038,1.03367
7,0.4823,8.8464,0.82878
8,0.5512,8.0226,0.92194
9,0.6201,7.9577,0.92666
10,0.6889,6.9897,1.41775
11,0.7578,6.2404,1.19615
12,0.8267,7.3898,0.8938
13,0.8956,7.5997,0.84648
14,0.9645,6.5387,1.19217
15,1.0334,7.4331,0.74961
16,1.1023,7.485,0.70586
17,1.1712,8.6613,1.05173
18,1.2401,7.9584,1.3618
19,1.309,8.0126,1.35499
20,1.3779,8.6593,0.92085
21,1.4468,8.8293,0.75723
22,1.5157,8.7413,0.7153
23,1.5846,7.6568,0.93784
24,1.6535,6.8408,1.15768
25,1.7224,4.9423,0.66704
26,1.7913,5.6373,0.7498
27,1.8602,6.3969,1.31792
28,1.929,6.0542,1.47138
29,1.9979,6.6633,1.62947
30,2.0668,7.3744,1.05731
31,2.1357,8.0169,0.88675
32,2.2046,10.3509,0.96136
33,2.2735,11.9365,1.08224
34,2.3424,12.2382,1.27325
35,2.4113,10.4764,1.91217
36,2.4802,9.4338,1.16304
37,2.5491,9.2633,1.17468
38,2.618,8.9083,1.30237
39,2.6869,9.0664,0.93159
40,2.7558,9.2864,0.9578
41,2.8247,7.7608,1.291
42,2.8936,8.1806,0.86845
43,2.9625,7.8964,1.111
44,3.0314,10.7682,1.75109
45,3.1003,12.2396,2.34722
46,3.1691,11.7324,2.82603
47,3.238,11.363,2.46447
48,3.3069,10.5771,2.01123
49,3.3758,10.4328,1.78359
50,3.4447,6.1088,1.75786
51,3.5136,4.2839,1.37214
52,3.5825,2.6488,0.76251
53,3.6514,2.3242,0.86781
54,3.7203,3.2153,0.59373
55,3.7892,4.8848,0.82092
56,3.8581,5.3382,0.72294
57,3.927,4.3251,0.99516
58,3.9959,3.6389,0.82203
59,4.0648,3.6378,1.92759
60,4.1337,4.4829,1.32792
61,4.2026,4.1629,1.19333
62,4.2715,5.3201,0.84106
63,4.3404,5.6846,0.78992
64,4.4092,8.0868,1.42924
65,4.4781,7.9245,1.42649
66,4.547,7.5499,1.19178
67,4.6159,9.8954,0.92466
68,4.6848,12.7373,0.96963
69,4.7537,18.9057,1.30706
70,4.8226,22.8745,1.53334
71,4.8915,26.1351,2.43266
72,4.9604,28.0702,2.97455
73,5.0293,38.8688,3.42797
74,5.0982,60.7974,3.63063
75,5.1671,79.6613,4.27185
76,5.236,49.4449,2.99433
77,5.3049,33.6289,2.27857
78,5.3738,25.1104,2.27166
79,5.4427,19.9805,2.05761
80,5.5116,20.7253,1.54135
