,condition,t_step,t_sec,t_min,mean_bleached,mean_control,mean_corr,mean_rescaled,std_rescaled
0,Fat2_30min,0,-60.0,-1.0,9.939411764705879,10.090529411764706,0.985023813826593,1.0355701258211092,0.11288096212153388
1,Fat2_30min,1,-30.0,-0.5,9.87655882352941,10.277499999999998,0.9609884527880721,1.0,0.0
2,Fat2_30min,2,0.0,0.0,2.8244999999999996,9.901117647058824,0.28527082504054796,0.0,0.0
3,Fat2_30min,3,30.0,0.5,3.1592058823529396,9.776529411764708,0.3231418583522359,0.05604564947924983,0.06888538098078228
4,Fat2_30min,4,60.0,1.0,3.405323529411765,9.83235294117647,0.3463386180077775,0.09037472230937117,0.08332455929887761
5,Fat2_30min,5,90.0,1.5,3.5271470588235294,9.394941176470589,0.3754304569417834,0.13342797079569868,0.11141868831609485
6,Fat2_30min,6,120.0,2.0,3.7207058823529415,9.431676470588236,0.39449040623431053,0.16163494440398335,0.10687000627748706
7,Fat2_30min,7,150.0,2.5,3.986676470588236,9.143441176470587,0.43601488691669066,0.22308736029077947,0.13477735376972508
8,Fat2_30min,8,180.0,3.0,4.199970588235294,9.107676470588233,0.46114622119026943,0.2602794257950538,0.17561394425399132
9,Fat2_30min,9,210.0,3.5,4.348705882352941,9.34276470588235,0.4654624213767181,0.26666700547213956,0.200556397903928
10,Fat2_30min,10,240.0,4.0,4.383147058823528,9.568617647058824,0.45807526442137736,0.25573469195537435,0.17132121481085733
11,Fat2_30min,11,270.0,4.5,4.596676470588234,9.20314705882353,0.49946789301613553,0.31699197886786584,0.19220610937276061
12,Fat2_30min,12,300.0,5.0,4.5412058823529415,9.08644117647059,0.4997782733808292,0.31745131328796716,0.20127412281738036
13,Fat2_30min,13,330.0,5.5,4.567147058823531,9.217470588235296,0.4954881076217159,0.31110226217113546,0.21249911425297924
14,Fat2_30min,14,360.0,6.0,4.527441176470588,9.074882352941174,0.49889805733991055,0.3161486744270382,0.1973232219751241
15,Fat2_30min,15,390.0,6.5,4.788676470588236,8.696529411764704,0.5506422440324404,0.3927253161597941,0.21173409964348125
16,Fat2_30min,16,420.0,7.0,4.73370588235294,8.831029411764705,0.5360310402824264,0.371102077176493,0.1870198282775687
17,Fat2_30min,17,450.0,7.5,4.989470588235295,8.301970588235292,0.6009983455380901,0.46724771936171966,0.21988011886259193
18,Fat2_30min,18,480.0,8.0,4.962294117647057,8.210588235294118,0.6043774179681901,0.4722484360684364,0.20929310429923872
19,Fat2_30min,19,510.0,8.5,5.170117647058825,8.357294117647056,0.618635359038248,0.49334887874533695,0.2611801139790494
20,Fat2_30min,20,540.0,9.0,5.0369117647058825,8.353117647058825,0.6029978239896339,0.4702067637457015,0.2633522353696086
21,Fat2_30min,21,570.0,9.5,5.058676470588235,8.245176470588234,0.6135316191998175,0.4857958127472756,0.2419756866573904
22,Fat2_30min,22,600.0,10.0,4.973470588235294,8.256323529411768,0.6023832000427477,0.4692971767797154,0.2817018707952927
23,Fat2_30min,23,630.0,10.5,4.925499999999999,7.896088235294117,0.6237898885151618,0.5009771087414913,0.27746768684344686
24,Fat2_30min,24,660.0,11.0,4.9467647058823525,7.817205882352939,0.6328047105743365,0.5143182170521109,0.2636906127960659
25,Fat2_30min,25,690.0,11.5,5.09214705882353,7.883441176470586,0.64592947988524,0.5337416696482112,0.2704838417231827
26,Fat2_30min,26,720.0,12.0,5.038529411764706,8.042088235294118,0.6265200361334304,0.5050174763538761,0.2355901754730842
27,Fat2_30min,27,750.0,12.5,4.8860294117647065,7.793058823529414,0.6269719660029286,0.5056862910346542,0.2370877706873117
28,Fat2_30min,28,780.0,13.0,4.902382352941177,7.695882352941177,0.6370136818772453,0.5205471078344028,0.23538914567801214
