seconds,mean_intensity
-20,8.41
-10,9.034
0,8.414
10,8.441
20,9.624
30,8.862
40,7.879
50,7.121
60,8.49
70,9.09
80,8.421
90,7.803
100,9.138
110,8.428
120,8.379
130,7.269
140,8.862
150,8.259
160,8.159
170,7.99
180,7.248
190,7.31
200,6.728
210,7.59
220,6.852
230,6.531
240,7.531
250,7.524
260,7.762
270,7.021
280,6.428
290,6.679
300,6.572
310,6.907
320,5.648
330,6.328
340,5.897
350,5.6
360,6
370,5.438
380,5.276
390,5.434
400,5.834
410,5.307
420,5.39
430,5.259
440,5.779
450,6.224
460,5.248
470,5.431
