seconds,mean_intensity
-20,6.264
-10,5.254
0,1.726
10,2.147
20,2.294
30,2.355
40,3.077
50,2.712
60,2.88
70,2.686
80,3.936
90,3.659
100,3.656
110,3.552
120,3.936
130,3.883
140,4.237
150,4.167
160,3.625
170,3.338
180,4.405
190,3.92
200,4.635
210,4.207
220,4.187
230,3.438
240,4.368
250,4.492
260,4.114
270,3.355
280,3.104
290,3.562
300,3.816
310,3.378
320,3.435
330,3.873
340,3.997
350,4.181
360,4.619
370,4.067
380,3.913
390,4.395
400,4.077
410,3.609
420,5.301
430,5.428
440,4.736
450,5.231
460,4.525
470,5.258
