seconds,mean_intensity
-20,7.147
-10,6.996
0,2.386
10,2.707
20,3.081
30,3.151
40,3.398
50,4.054
60,3.054
70,3.61
80,3.757
90,4.212
100,4.077
110,4.147
120,3.479
130,3.521
140,3.413
150,3.653
160,3.726
170,3.753
180,3.718
190,3.51
200,3.394
210,3.942
220,3.722
230,3.309
240,3.031
250,2.541
260,2.583
270,2.985
280,3.595
290,3.479
300,3.556
310,3.537
320,3.371
330,3.405
340,3.479
350,3.405
360,3.413
370,3.923
380,3.394
390,2.969
400,3.471
410,3.027
420,2.996
430,2.919
440,3
450,3.317
460,2.695
470,2.68
