seconds,mean_intensity
-20,12.195
-10,13.355
0,2.759
10,4.227
20,3.559
30,3.859
40,4.059
50,4.105
60,5.164
70,4.682
80,4.786
90,4.8
100,4.527
110,4.655
120,5.768
130,5.636
140,5.895
150,5.768
160,5.9
170,5.695
180,6.45
190,7.232
200,6.277
210,6.218
220,6.745
230,7.018
240,6.677
250,7.341
260,7.491
270,7.114
280,7.191
290,6.514
300,7.168
310,7.209
320,6.482
330,6.555
340,6.323
350,6.195
360,6.327
370,6.182
380,5.682
390,5.982
400,6.85
410,7.541
420,6.677
430,6.577
440,6.382
450,6.582
460,6.859
470,6.182
